2020-04-20 01:04:187 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 01:04:94 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:212 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:730 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (d63167ee8b1464d9e2f17f07d5d250eb)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:682 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:207 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (66e40ed28bdf19c6a3a7f5c727a66e5a)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:866 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:348 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (d1b32e2ee8279d1f91f6b26e0db8945d)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:522 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:193 INFO  HomePage :35 - Clicking On Customer Login :[[ChromeDriver: chrome on WINDOWS (3a8000e9d0da0290af0a5dda2e324ccf)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-20 14:04:473 INFO  CustomerLoginPage :44 - Selecting Customer Name From DropDown :Hermoine Grangerin dropdown field[[ChromeDriver: chrome on WINDOWS (3a8000e9d0da0290af0a5dda2e324ccf)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:719 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:373 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (79ed822937c2af8b91dbba4c4531386b)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:610 INFO  BankManagerLoginPage :36 - Clicking On Add Customer Tab :[[ChromeDriver: chrome on WINDOWS (79ed822937c2af8b91dbba4c4531386b)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-20 14:04:892 INFO  AddCustomerPage :38 - Entering FirstName : Hermoineto firstname field :[[ChromeDriver: chrome on WINDOWS (79ed822937c2af8b91dbba4c4531386b)] -> xpath: //input[@placeholder='First Name']]
2020-04-20 14:04:977 INFO  AddCustomerPage :44 - Entering LastName :Grangerto lastname field :[[ChromeDriver: chrome on WINDOWS (79ed822937c2af8b91dbba4c4531386b)] -> xpath: //input[@placeholder='Last Name']]
2020-04-20 14:04:53 INFO  AddCustomerPage :49 - Entering Postcode :E859ACin postcode field :[[ChromeDriver: chrome on WINDOWS (79ed822937c2af8b91dbba4c4531386b)] -> xpath: //input[@placeholder='Post Code']]
2020-04-20 14:04:873 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:428 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (85a21dd3d8dcead9faa480d66cd63f04)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:823 INFO  BankManagerLoginPage :36 - Clicking On Add Customer Tab :[[ChromeDriver: chrome on WINDOWS (85a21dd3d8dcead9faa480d66cd63f04)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-20 14:04:654 INFO  AddCustomerPage :38 - Entering FirstName : Hermoineto firstname field :[[ChromeDriver: chrome on WINDOWS (85a21dd3d8dcead9faa480d66cd63f04)] -> xpath: //input[@placeholder='First Name']]
2020-04-20 14:04:757 INFO  AddCustomerPage :44 - Entering LastName :Grangerto lastname field :[[ChromeDriver: chrome on WINDOWS (85a21dd3d8dcead9faa480d66cd63f04)] -> xpath: //input[@placeholder='Last Name']]
2020-04-20 14:04:839 INFO  AddCustomerPage :49 - Entering Postcode :E859ACin postcode field :[[ChromeDriver: chrome on WINDOWS (85a21dd3d8dcead9faa480d66cd63f04)] -> xpath: //input[@placeholder='Post Code']]
2020-04-20 14:04:667 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:36 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (ce0ad6c0741e1585ab79fe1833e85cf0)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:756 INFO  BankManagerLoginPage :36 - Clicking On Add Customer Tab :[[ChromeDriver: chrome on WINDOWS (ce0ad6c0741e1585ab79fe1833e85cf0)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-20 14:04:873 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:600 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (615f27824fddbeabfa3aba187d7df8ca)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
